Output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rubber_Leather,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Newsprint,0,,,-0.003112381,,-0.622464,,,,,,,,,,,,,,,,,,,,,,,,-66,894.075472,0,,-7.633845,0.004328,-0.000153,-104.519502,-4.662941,,,,,,,,,,,,,,,,-213864.9321,-213864.9321,-941.0664151,114.1141792,-185025.8,,,,,,,,,,,,,,,,,
,,Corr_Cardboard,0,,,-0.029104417,,-0.036906,,,,,,,,,,,,,,,,,,,,,,,,-121,0,242.028037,,-7.445555,-0.009356,0.21518,-21.000206,-1.520297,,,,,,,,,,,,,,,,-248856.3178,-248856.3178,-6180.057196,-9.355671028,-291710.729,,,,,,,,,,,,,,,,,
,,Office_Paper,0,,,0.013362463,,0,,,,,,,,,,,,,,,,,,,,,,,,-154,0,126.045752,,0,0,0,27.333057,9.050949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Magazines,0,,,0.003226093,,0,,,,,,,,,,,,,,,,,,,,,,,,-110,7.815603,0,,0,0,0,-1.549365,-0.591641,,,,,,,,,,,,,,,,0,0,0,-1549.365106,0,,,,,,,,,,,,,,,,,
,,third_Class_Mail,0,,,-0.003112381,,0,,,,,,,,,,,,,,,,,,,,,,,,-81,894.075472,0,,-7.633845,0.004328,-0.000153,-104.519502,-4.662941,,,,,,,,,,,,,,,,-213864.9321,-213864.9321,-941.0664151,-4662.941462,-185025.8,,,,,,,,,,,,,,,,,
,,Folding_Containers,0,,,-0.003112381,,0,,,,,,,,,,,,,,,,,,,,,,,,-81,894.075472,0,,-7.633845,0.004328,-0.000153,-104.519502,-4.662941,,,,,,,,,,,,,,,,-213864.9321,-213864.9321,-941.0664151,0,-185025.8,,,,,,,,,,,,,,,,,
,,Paper_Bags,0,,,-0.003112381,,0,,,,,,,,,,,,,,,,,,,,,,,,-81,894.075472,0,,-7.633845,0.004328,-0.000153,-104.519502,-4.662941,,,,,,,,,,,,,,,,-213864.9321,-213864.9321,-941.0664151,0,-185025.8,,,,,,,,,,,,,,,,,
,,Mixed_Paper,0,,,-0.003112381,,0,,,,,,,,,,,,,,,,,,,,,,,,-81,894.075472,0,,-7.633845,0.004328,-0.000153,-104.519502,-4.662941,,,,,,,,,,,,,,,,-213864.9321,-213864.9321,-941.0664151,0,-185025.8,,,,,,,,,,,,,,,,,
,,Paper_Non_recyclable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HDPE_Translucent_Containers,0,,,0.132361387,,-0.000001,,,,,,,,,,,,,,,,,,,,,,,,-682,0,146.3,,0.056813,0.02517,0.045666,19.074936,0.391937,,,,,,,,,,,,,,,,797.525,797.525,557.574,0,1678.27,,,,,,,,,,,,,,,,,
,,HDPE_Pigmented_Containers,0,,,0.132361387,,0,,,,,,,,,,,,,,,,,,,,,,,,-352,0,146.3,,0.056813,0.02517,0.045666,19.074936,0.391937,,,,,,,,,,,,,,,,797.525,797.525,557.574,0,1678.27,,,,,,,,,,,,,,,,,
,,PET_Containers,0,,,-0.0301644,,-0.034474,,,,,,,,,,,,,,,,,,,,,,,,-220,100.7,0,,0.056813,0.02517,0.045666,-263.417064,-204.925388,,,,,,,,,,,,,,,,797.525,797.525,557.574,0,1678.27,,,,,,,,,,,,,,,,,
,,Plastic_Other_1_Polypropylene,0,,,-0.0301644,,-0.000027,,,,,,,,,,,,,,,,,,,,,,,,-100,100.7,0,,0.056813,0.02517,0.045666,-263.417064,-204.925388,,,,,,,,,,,,,,,,797.525,797.525,557.574,1595.05,1678.27,,,,,,,,,,,,,,,,,
,,Plastic_Other_2,0,,,0.132361387,,-0.120658,,,,,,,,,,,,,,,,,,,,,,,,0,0,146.3,,0.056813,0.02517,0.045666,19.074936,0.391937,,,,,,,,,,,,,,,,797.525,797.525,557.574,40.99155,1678.27,,,,,,,,,,,,,,,,,
,,Mixed_Plastic,0,,,0.078128669,,-0.466255,,,,,,,,,,,,,,,,,,,,,,,,-100,33.566667,97.533333,,0.056813,0.02517,0.045666,-75.089064,-68.047172,,,,,,,,,,,,,,,,-213864.9321,-213864.9321,-941.0664151,-185025.8,-185025.8,,,,,,,,,,,,,,,,,
,,Plastic_Film,0,,,0.132189019,,0,,,,,,,,,,,,,,,,,,,,,,,,-200,0,146.3,,0.056813,0.02517,0.045666,19.074936,0.391937,,,,,,,,,,,,,,,,797.525,797.525,557.574,12.1895925,1678.27,,,,,,,,,,,,,,,,,
,,Plastic_Non_Recyclable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ferrous_Cans,0,,,-0.003112381,,0,,,,,,,,,,,,,,,,,,,,,,,,-55,894.075472,0,,-7.633845,0.004328,-0.000153,-104.519502,-4.662941,,,,,,,,,,,,,,,,-213864.9321,-213864.9321,-941.0664151,-4.721966038,-185025.8,,,,,,,,,,,,,,,,,
,,Ferrous_Metal_Other,0,,,-0.003112381,,0,,,,,,,,,,,,,,,,,,,,,,,,-55,894.075472,0,,-7.633845,0.004328,-0.000153,-104.519502,-4.662941,,,,,,,,,,,,,,,,-213864.9321,-213864.9321,-941.0664151,-1.967485849,-185025.8,,,,,,,,,,,,,,,,,
,,Aluminum_Cans,0.113521243,,,-2.664479042,,0,,,,,,,,,,,,,,,,,,,,,,,,-1166,15342.51776,0,,-26.62468,-1.999775,-0.740657,-525.880167,-200.367288,,,,,,,,,,,,,,,,138412.2299,138412.2299,-13833.70467,-31727300.93,-2295492.778,,,,,,,,,,,,,,,,,
,,Aluminum_Foil,0.113521243,,,-2.664479042,,-2.488591191,,,,,,,,,,,,,,,,,,,,,,,,-1166,15342.51776,0,,-26.62468,-1.999775,-0.740657,-525.880167,-200.367288,,,,,,,,,,,,,,,,138412.2299,138412.2299,-13833.70467,-8225.194112,-2295492.778,,,,,,,,,,,,,,,,,
,,Aluminum_Other,0.113521243,,,-2.664479042,,0,,,,,,,,,,,,,,,,,,,,,,,,-1166,15342.51776,0,,-26.62468,-1.999775,-0.740657,-525.880167,-200.367288,,,,,,,,,,,,,,,,138412.2299,138412.2299,-13833.70467,-148131.4579,-2295492.778,,,,,,,,,,,,,,,,,
,,Ferrous_Non_recyclable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Al_Non_recyclable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Glass_Brown,0,,,-0.012423884,,0,,,,,,,,,,,,,,,,,,,,,,,,-22,44.614951,0,,0,-0.145785,0,-31.20864,-0.336115,,,,,,,,,,,,,,,,-60139.24272,-60139.24272,-7294.812039,0,-317097.8252,,,,,,,,,,,,,,,,,
,,Glass_Green,0,,,-0.012423884,,0,,,,,,,,,,,,,,,,,,,,,,,,-13.2,44.614951,0,,0,-0.145785,0,-31.20864,-0.336115,,,,,,,,,,,,,,,,-60139.24272,-60139.24272,-7294.812039,0,-317097.8252,,,,,,,,,,,,,,,,,
,,Glass_Clear,0,,,-0.012423884,,0,,,,,,,,,,,,,,,,,,,,,,,,-33,44.614951,0,,0,-0.145785,0,-31.20864,-0.336115,,,,,,,,,,,,,,,,-60139.24272,-60139.24272,-7294.812039,0,-317097.8252,,,,,,,,,,,,,,,,,
,,Mixed_Glass,0,,,-0.012423884,,0,,,,,,,,,,,,,,,,,,,,,,,,22,44.614951,0,,0,-0.145785,0,-31.20864,-0.336115,,,,,,,,,,,,,,,,-60139.24272,-60139.24272,-7294.812039,0,-317097.8252,,,,,,,,,,,,,,,,,
,,Glass_Non_recyclable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Misc_Organic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Misc_Inorganic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,E_waste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Aerobic_Residual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Anaerobic_Residual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bottom_Ash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fly_Ash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Diapers_and_sanitary_products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Waste_Fraction_47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Waste_Fraction_48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Waste_Fraction_49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Waste_Fraction_50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Waste_Fraction_51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Waste_Fraction_52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Waste_Fraction_53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Waste_Fraction_54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Waste_Fraction_55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Waste_Fraction_56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
