,Objective,Time,Ratio
0,-26030361.021939762,75,0.9439159700588383
1,-27406947.528744914,54,0.9938339096081863
2,-26519994.984235805,119,0.9616711335813449
3,-26501895.90004223,162,0.9610148224914081
4,-25948960.455012847,43,0.9409642132610975
5,-26548572.154777,85,0.9627074022535387
6,-26458809.362516146,181,0.9594524134709904
7,-27216658.112014312,95,0.986933612711274
8,-26548572.154694542,98,0.9627074022505485
9,-26195249.871891584,90,0.949895188657573
10,-26548572.154658966,63,0.9627074022492584
11,-26214397.965040453,74,0.9505895390318977
12,-25993355.53164068,64,0.9425740726781712
13,-26232035.027549006,85,0.9512290962379125
14,-27494117.370785385,99,0.9969948725291445
15,-25949116.41618294,53,0.9409698687431338
16,-26548572.154668253,54,0.9627074022495953
17,-27576989.740205515,139,0.9999999999995758
18,-26548572.154457208,76,0.9627074022419423
19,-26440862.217987128,76,0.95880161203479
20,-25525156.754765123,54,0.9255961943351716
21,-27247904.84551491,70,0.9880666853850847
22,-26548572.1082797,130,0.9627074005674482
23,-26948057.0619254,136,0.9771935702839023
24,-26152116.885581765,65,0.9483310953059728
25,-26548572.155065008,66,0.9627074022639824
26,-26469443.622746646,80,0.9598380342486996
27,-26548572.154994167,65,0.9627074022614136
28,-26548572.119955298,134,0.9627074009908301
29,-26548572.1546925,65,0.9627074022504745
30,-26548572.15476773,145,0.9627074022532025
31,-26548550.6253863,123,0.9627066215522764
32,-26027673.584874645,64,0.9438185179043271
33,-26547718.349421844,54,0.9626764414647361
34,-26024517.915052354,70,0.9437040866392754
35,-26152098.300422285,43,0.9483304213687646
36,-25952172.04869123,44,0.9410806724435042
37,-26548570.456563834,54,0.9627073406727359
38,-26548572.03752981,75,0.9627073980019075
39,-26548572.15475706,64,0.9627074022528156
40,-26219787.373277202,54,0.9507849703783761
41,-27576989.740217213,96,1.0
42,-26548572.15483452,107,0.9627074022556245
43,-26204011.773503438,106,0.9502129137499197
44,-26548571.978633616,64,0.9627073958662068
45,-26548470.795036655,121,0.9627037267348798
46,-26548569.397326928,87,0.9627073022625643
47,-26548572.155095,64,0.96270740226507
48,-26548571.84302994,124,0.9627073909489305
49,-26548572.15463412,97,0.9627074022483576
50,-26110658.54383242,74,0.9468277281096293
51,-26276415.341817573,64,0.9528384203406025
52,-26104827.30111947,54,0.9466162749101364
53,-26285494.211899467,111,0.953167639380368
54,-27247130.304443475,54,0.9880385988869306
55,-25656031.72182212,79,0.9303419975678621
56,-25949115.656572036,43,0.9409698411980352
57,-25976300.010888327,69,0.9419556034067598
58,-25980988.91088872,94,0.942125632842335
59,-26548572.15221408,85,0.9627074021606017
60,-26462680.68617689,64,0.9595927958585247
61,-26029538.23557591,64,0.9438861340842957
62,-26548572.154562015,55,0.9627074022457428
63,-26548572.154679712,85,0.9627074022500107
64,-26147452.104232043,64,0.9481619404637053
65,-26548572.15467288,128,0.962707402249763
66,-26548569.104596477,53,0.9627072916475388
67,-27338934.987843573,74,0.9913676309627635
68,-25988814.18411802,74,0.9424093938076549
69,-26548572.15482781,63,0.9627074022553811
70,-27254933.406353153,64,0.9883215558732872
71,-25980818.709905755,88,0.9421194609945529
72,-26411288.873574868,74,0.9577292199901597
73,-26548572.155435245,95,0.962707402277408
74,-26868196.460450716,177,0.9742976558919765
75,-26180365.364064083,116,0.9493554449086099
76,-26315143.28720595,84,0.9542427775874669
77,-26548572.154677417,138,0.9627074022499276
78,-26548571.11750748,144,0.962707364639951
79,-26207318.49928333,53,0.9503328226236235
80,-27315469.65233399,200,0.9905167282452939
81,-26548572.154676963,63,0.962707402249911
82,-26548564.220656957,52,0.9627071145455576
83,-26548572.108148716,158,0.9627074005626984
84,-25758261.942490805,64,0.9340490816851541
85,-26950909.51635798,294,0.9772970063173291
86,-26548568.470476396,52,0.9627072686530029
87,-26045189.800351676,66,0.9444536929412706
88,-27366226.422523238,53,0.9923572761320426
89,-25951150.43338293,67,0.9410436265107202
90,-26060407.415438406,89,0.9450055158642975
91,-26548572.154668808,106,0.9627074022496154
92,-25950481.778959583,43,0.9410193796864785
93,-26548572.154664956,93,0.9627074022494757
94,-26548571.580168486,53,0.9627073814170181
95,-26548043.42153789,62,0.9626882292675061
96,-27264632.261163276,111,0.9886732568711658
97,-27452167.312419597,59,0.9954736746478322
98,-26548572.154832162,49,0.962707402255539
99,-26548572.151792794,49,0.962707402145325
