,Value,Unit
Diversion,33.52,%
GWP,-329.15,kg CO2/Mg
Operation Cost,55.53,$/Mg
Capital cost,2.87,$/Mg
Total cost,58.4,$/Mg
Collection,74621,Mg/yr
LF,49608,Mg/yr
WTE,0,Mg/yr
Composting,9570,Mg/yr
AD,0,Mg/yr
SS_MRF,18305,Mg/yr
Reprocessing,15861,Mg/yr
