Mass/Energy/Transportation Flows,,,Materials Requiring Additional Treatment,,,,,,Recovered Fiber,,,,,Recovered Plastic,,,,,,,,,,Recovered Metals,,,Glass,,,,,,Electricity,,Production,Equipment,,,,,,,,Boiler,,,,,,,,,,,,Internal Process Transportation (kg km),,,,,Collection (L/Mg),,,,,Empty Return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Waste Fraction,Bottom Ash,Fly Ash,Separated Organics,Other Residual,RDF,Wastewater,OCC,Mixed Paper,ONP,OFF,Other,PET (#1),HDPE-Unsorted (#2),HDPE-P (#2A),HDPE-T (#2B),PVC (#3),LDPE/Film ( #4),Polypropylene (#5),Polystyrene (#6),Other (#7),Mixed Plastic,Al,Fe,Cu,Brown,Clear,Green,Mixed Glass,Capital Costs,Amortized Operating Cost,Production,Consumption,Heat/ Steam,Diesel,Gasoline,LPG,CNG,Residual Fuel Oil,Distillate,Kerosene,Petroleum/Crude Oil,Diesel,Gasoline,LPG,CNG,Residual Fuel Oil,Distillate,Kerosene,Petroleum/Crude Oil,Coke,Bitumen,Coal,Wood,Heavy Duty Diesel Truck,Medium Duty Diesel Truck,Barge,Cargo Ship,Rail,Diesel,CNG,Biodiesel,Gasoline Passenger Vehicle,Other,Heavy Duty Diesel Truck,Medium Duty Diesel Truck,LF_Emission_Material_used,Other 2,Other 3,Other 4,Other 5,Other 6,Other 7,Other 8,Other 9,Other 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wood Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.02,24.53,1.47,0.00,2.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,141,2114,,,,,,,,,4,88,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Textiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.99,270.58,12.58,0.00,2.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,141,2114,,,,,,,,,4,88,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rubber/Leather,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.95,0.00,0.63,0.00,2.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,141,2114,,,,,,,,,4,88,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Newsprint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.30,96.55,4.66,0.00,2.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,141,2114,,,,,,,,,4,88,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Corr. Cardboard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.74,159.03,9.62,0.00,2.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,141,2114,,,,,,,,,4,88,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Office Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.51,404.71,18.50,0.00,2.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,141,2114,,,,,,,,,4,88,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Magazines ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.39,143.52,5.79,0.00,2.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,141,2114,,,,,,,,,4,88,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3rd Class Mail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.35,131.14,5.35,0.00,2.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,141,2114,,,,,,,,,4,88,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Folding Containers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.54,117.96,7.30,0.00,2.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,141,2114,,,,,,,,,4,88,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Paper Bags ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.92,194.72,11.63,0.00,2.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,141,2114,,,,,,,,,4,88,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
